"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"DemoQA UI","Authentication","User Login","0","0","2","0","0"
"DemoQA API","Authorization","User Login","0","0","1","0","0"
"DemoQA UI","Book Store","Search Book","0","0","1","0","0"
"DemoQA API","Book Store","Add Book","0","0","1","0","0"
"DemoQA API","Authorization","Negative - Generate Token HTTP","0","0","1","0","0"
"DemoQA API","Book Store","Get Books","0","0","1","0","0"
"DemoQA API","Book Store","Delete Books","0","0","1","0","0"
"DemoQA API","DB Driven Authorization","User Login","0","0","1","0","0"
"DemoQA API","Book Store","Negative - Add Book","0","0","1","0","0"
